id,name,name_kana,elevation,lat,lng,area,prefectures,match_radius_m,peak_alias,verified
1,利尻山,りしりざん,1721,45.178500,141.242500,北海道,"[""北海道""]",3000,,0
2,羅臼岳,らうすだけ,1661,44.076100,145.122500,北海道,"[""北海道""]",3000,,0
3,斜里岳,しゃりだけ,1547,43.765600,144.719400,北海道,"[""北海道""]",3000,,0
4,阿寒岳,あかんだけ,1499,43.386600,144.008600,北海道,"[""北海道""]",3000,雌阿寒岳,0
5,大雪山,たいせつざん,2291,43.663400,142.854300,北海道,"[""北海道""]",3000,旭岳,0
6,トムラウシ山,とむらうしやま,2141,43.528900,142.849700,北海道,"[""北海道""]",3000,,0
7,十勝岳,とかちだけ,2077,43.418300,142.686400,北海道,"[""北海道""]",2500,,0
8,幌尻岳,ぽろしりだけ,2052,42.720300,142.679700,北海道,"[""北海道""]",3000,,0
9,後方羊蹄山,しりべしやま,1898,42.827200,140.811100,北海道,"[""北海道""]",3000,羊蹄山,0
10,岩木山,いわきさん,1625,40.655900,140.303300,東北,"[""青森県""]",3000,,0
11,八甲田山,はっこうださん,1585,40.659200,140.877800,東北,"[""青森県""]",3000,大岳,0
12,八幡平,はちまんたい,1613,39.958300,140.853600,東北,"[""岩手県"",""秋田県""]",3000,,0
13,岩手山,いわてさん,2038,39.851700,141.001100,東北,"[""岩手県""]",3000,,0
14,早池峰山,はやちねさん,1917,39.558600,141.489400,東北,"[""岩手県""]",3000,,0
15,鳥海山,ちょうかいさん,2236,39.099400,140.048900,東北,"[""山形県"",""秋田県""]",3000,,0
16,月山,がっさん,1984,38.548600,140.027200,東北,"[""山形県""]",3000,,0
17,朝日岳,あさひだけ,1871,38.260000,139.921400,東北,"[""山形県"",""新潟県""]",3000,大朝日岳,0
18,蔵王山,ざおうさん,1841,38.144700,140.440000,東北,"[""宮城県"",""山形県""]",3000,熊野岳,0
19,飯豊山,いいでさん,2105,37.854400,139.703100,東北,"[""福島県"",""山形県"",""新潟県""]",3000,,0
20,吾妻山,あづまやま,2035,37.733100,140.033100,東北,"[""福島県"",""山形県""]",3000,西吾妻山,0
21,安達太良山,あだたらやま,1700,37.620800,140.282200,東北,"[""福島県""]",3000,,0
22,磐梯山,ばんだいさん,1816,37.601700,140.072200,東北,"[""福島県""]",3000,,0
23,会津駒ヶ岳,あいづこまがたけ,2133,37.046400,139.345000,東北,"[""福島県""]",3000,,0
24,那須岳,なすだけ,1915,37.124700,139.963600,関東,"[""栃木県""]",3000,茶臼岳,0
25,魚沼駒ヶ岳,うおぬまこまがたけ,2003,37.133900,139.080600,上信越,"[""新潟県""]",2500,越後駒ヶ岳,0
26,平ヶ岳,ひらがたけ,2141,36.941400,139.162800,上信越,"[""群馬県"",""新潟県""]",2500,,0
27,巻機山,まきはたやま,1967,36.975000,138.920000,上信越,"[""新潟県"",""群馬県""]",2500,,0
28,燧ヶ岳,ひうちがたけ,2356,36.955300,139.286400,上信越,"[""福島県""]",2500,,0
29,至仏山,しぶつさん,2228,36.903600,139.176100,上信越,"[""群馬県""]",2500,,0
30,谷川岳,たにがわだけ,1977,36.835300,138.929400,上信越,"[""群馬県"",""新潟県""]",2000,,0
31,雨飾山,あまかざりやま,1963,36.908900,137.955300,上信越,"[""新潟県"",""長野県""]",2500,,0
32,苗場山,なえばさん,2145,36.846100,138.694400,上信越,"[""新潟県"",""長野県""]",2500,,0
33,妙高山,みょうこうさん,2454,36.891900,138.113600,上信越,"[""新潟県""]",2000,,0
34,火打山,ひうちやま,2462,36.918600,138.057200,上信越,"[""新潟県""]",2000,,0
35,高妻山,たかつまやま,2353,36.783900,138.048100,上信越,"[""長野県"",""新潟県""]",2000,,0
36,男体山,なんたいさん,2486,36.765300,139.491100,関東,"[""栃木県""]",2500,,0
